Cite-DBLP_edges,12591,49620,44,1,0.11824,121.79828
chameleon_edges,2277,31421,6,54,1.22786,22.70332
crocodile_edges,11631,170918,6,6,0.92274,156.41126
deezer_hr_edges,54573,498202,7,12,7.78688,651.25550
facebook_ego_edges,4039,88234,5,4,0.17233,44.30120
facebook_government_edges,7057,89455,7,1,0.08074,79.50703
facebook_politician_edges,5908,41729,7,16,0.70656,43.26574
facebook_tvshow_edges,3892,17262,11,2,0.04550,21.45656
mahindas_edges,1258,7513,6,1,0.00611,5.98691
netscience_edges,379,914,7,5,0.00482,0.95904
polblogs_edges,643,2280,6,4,0.00838,2.06526
reed98_edges,962,18812,4,306,2.98598,9.75948
squirrel_edges,5201,198493,6,2,0.27908,144.19908
