Instancia,Melhor solucao
Cite-DBLP,41
ba_1k_2k,5
c-fat200-1,9
c-fat200-2,5
c-fat200-5,3
c-fat500-1,17
c-fat500-10,3
c-fat500-2,10
c-fat500-5,5
chameleon,7
crocodile,6
deezer_hr,7
facebook_ego,5
facebook_government,6
facebook_politician,8
facebook_tvshow,10
mahindas,5
netscience,6
polblogs,6
reed98,4
squirrel,6
