grid10,1.0034,1000000000.0000,0,0,21
grid10,1.0047,0.0388,9,102,7
grid10,120.0072,0.0134,6,11371,7
grid10,120.0272,0.0130,5,8670,7
grid10,120.0045,0.0247,6,8142,7
grid10,120.0028,0.1528,27,8500,7
grid10,600.0038,0.0326,10,51108,7
grid10,600.0001,1000000000.0000,0,0,21
grid10,600.0056,0.0368,12,47634,7
grid10,600.0070,3.6643,418,1,6
grid10,600.0017,34.5148,3420,1,6
grid13,600.0376,0.2170,9,6035,8
grid13,600.0635,0.0007,1,10918,8
grid13,600.0044,0.0008,1,38381,8
grid13,600.0075,0.0011,1,51907,8
grid13,600.0108,0.0092,2,5377,7
grid13,600.0198,0.0116,2,21346,7
grid13,600.0203,0.0007,1,21349,7
grid13,5.0017,0.1187,11,119,8
grid13,5.0303,0.0075,2,112,8
grid13,5.0261,0.0275,3,99,8
grid13,5.0107,0.0307,6,115,8
grid13,5.0338,0.0378,7,87,8
grid13,5.0009,0.0004,1,93,8
grid13,5.0604,0.1333,18,110,8
grid13,5.0281,0.1038,7,116,8
grid13,5.0027,0.0686,7,89,8
grid13,5.0034,0.0273,5,111,8
grid13,5.0020,0.0127,9,265,8
grid13,5.0014,0.0044,4,1751,8
grid13,5.0024,0.0033,3,269,8
grid13,5.0012,0.0021,2,1778,8
grid13,60.0005,0.0024,2,2831,8
grid13,60.0003,1.3568,681,1,7
